,playerID,nameFirst,nameLast,yearID,G,AB,R,H,2B,3B,HR,RBI,BB,BA,TOTB,SLG,OBP,OPS,RBI/AB,HR/G,R/G,BABIP,Cluster,Total
15858,musiast01,Stan,Musial,1949,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,18
15240,nichobi01,Bill,Nicholson,1943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,18
32443,kentje01,Jeff,Kent,2000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,18
12101,gehrilo01,Lou,Gehrig,1928,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,18
29663,clarkwi02,Will,Clark,1989,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,18
20489,willibi01,Billy,Williams,1972,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,18
13796,greenha01,Hank,Greenberg,1937,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,18
9597,kauffbe01,Benny,Kauff,1914,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,18
34957,heltoto01,Todd,Helton,2003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,18
20156,santoro01,Ron,Santo,1964,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,18
12103,gehrilo01,Lou,Gehrig,1930,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,18
40294,troutmi01,Mike,Trout,2013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,18
15857,musiast01,Stan,Musial,1948,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,18
20490,willibi02,Billy,Williams,1972,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,18
15860,musiast01,Stan,Musial,1951,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,18
15336,willite01,Ted,Williams,1946,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,18
12100,gehrilo01,Lou,Gehrig,1927,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,18
15793,holmeto01,Tommy,Holmes,1945,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,17
20447,torrejo01,Joe,Torre,1971,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,17
21262,allendi01,Dick,Allen,1964,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,17
7195,cobbty01,Ty,Cobb,1917,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,17
35047,leede02,Derrek,Lee,2005,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,17
2993,whitebi01,Bill,White,1963,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,17
2994,whitebi02,Bill,White,1963,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,17
2996,whitebi04,Bill,White,1963,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,17
18396,aaronha01,Hank,Aaron,1959,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,17
40352,blackch02,Charlie,Blackmon,2017,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,17
15863,musiast01,Stan,Musial,1954,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,17
226,mcveyca01,Cal,McVey,1875,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,17
35108,ordonma01,Magglio,Ordonez,2007,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,17
38532,braunry02,Ryan,Braun,2012,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,17
10014,sislege01,George,Sisler,1920,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,17
7187,cobbty01,Ty,Cobb,1909,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,17
38531,braunry01,Ryan,Braun,2012,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,17
40295,troutmi01,Mike,Trout,2014,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,17
21936,perezto01,Tony,Perez,1970,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,17
13795,greenha01,Hank,Greenberg,1935,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,17
17823,mayswi01,Willie,Mays,1958,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,17
15862,musiast01,Stan,Musial,1953,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,17
19112,robinfr02,Frank,Robinson,1962,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,17
40101,goldspa01,Paul,Goldschmidt,2015,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,17
31138,martied01,Edgar,Martinez,1995,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,17
37239,bayja01,Jason,Bay,2005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,17
7040,mageesh01,Sherry,Magee,1910,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,17
14977,slaugen01,Enos,Slaughter,1942,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,2,17
40080,freemfr01,Freddie,Freeman,2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,17
29646,cansejo01,Jose,Canseco,1988,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,17
2995,whitebi03,Bill,White,1963,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,17
3667,delahed01,Ed,Delahanty,1899,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,17
29,ansonca01,Cap,Anson,1884,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,17
17946,thomafr04,Frank,Thomas,1991,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,17
17947,thomafr03,Frank,Thomas,1992,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,17
17948,thomafr04,Frank,Thomas,1992,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,17
17180,snidedu01,Duke,Snider,1954,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,17
31815,gonzalu02,Luis,Gonzalez,2001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,17
40905,yelicch01,Christian,Yelich,2018,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,17
33028,salmoti01,Tim,Salmon,1995,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,17
15332,willite01,Ted,Williams,1939,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,17
6185,williji99,Jimmy,Williams,1899,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,17
6184,williji01,Jimmy,Williams,1899,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,17
38222,kempma01,Matt,Kemp,2011,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,17
37756,gonzaad01,Adrian,Gonzalez,2011,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,17
36306,pujolal01,Albert,Pujols,2003,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,17
34954,heltoto01,Todd,Helton,2000,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,17
31814,gonzalu01,Luis,Gonzalez,2001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,17
36861,cabremi01,Miguel,Cabrera,2005,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,17
15339,willite01,Ted,Williams,1949,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,17
37364,hollima01,Matt,Holliday,2007,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,17
36867,cabremi01,Miguel,Cabrera,2011,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,17
26912,murphda05,Dale,Murphy,1985,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,17
39288,vottojo01,Joey,Votto,2011,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,17
10139,hornsro01,Rogers,Hornsby,1929,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,17
